Dane zostały wczytane poprawnie!
R: 34903, P: 59, Q: 28609
R: 30303, P: 97, Q: 9972
R: 31398, P: 2, Q: 10795
R: 29435, P: 27, Q: 11910
R: 30211, P: 2, Q: 26271
R: 12003, P: 31, Q: 34311
R: 26145, P: 60, Q: 18313
R: 25263, P: 45, Q: 34338
R: 9257, P: 14, Q: 27807
R: 34971, P: 43, Q: 19138
R: 12759, P: 8, Q: 10062
R: 27845, P: 60, Q: 3321
R: 25520, P: 30, Q: 24403
R: 15417, P: 89, Q: 18419
R: 9591, P: 11, Q: 25360
R: 22178, P: 89, Q: 2605
R: 26696, P: 63, Q: 7295
R: 34616, P: 54, Q: 27451
R: 20140, P: 81, Q: 30495
R: 8326, P: 40, Q: 17269
R: 7184, P: 74, Q: 11731
R: 24887, P: 35, Q: 6411
R: 35447, P: 28, Q: 14199
R: 19225, P: 32, Q: 33
R: 36098, P: 20, Q: 21145
R: 34066, P: 76, Q: 20533
R: 33246, P: 89, Q: 25465
R: 33727, P: 3, Q: 10003
R: 27171, P: 74, Q: 14913
R: 28559, P: 38, Q: 29974
R: 13109, P: 25, Q: 2568
R: 34259, P: 21, Q: 12313
R: 35205, P: 69, Q: 5011
R: 9691, P: 99, Q: 27320
R: 2773, P: 78, Q: 26814
R: 33930, P: 80, Q: 30854
R: 33772, P: 4, Q: 23885
R: 16100, P: 41, Q: 9419
R: 6972, P: 51, Q: 20729
R: 27882, P: 53, Q: 10238
R: 24430, P: 47, Q: 25243
R: 12045, P: 48, Q: 35801
R: 27065, P: 9, Q: 17906
R: 34401, P: 17, Q: 4071
R: 21357, P: 15, Q: 35425
R: 6323, P: 78, Q: 36559
R: 36627, P: 62, Q: 22036
R: 6885, P: 56, Q: 27824
R: 16908, P: 96, Q: 33356
R: 10989, P: 75, Q: 5039
R: 35497, P: 44, Q: 3378
R: 21126, P: 23, Q: 7419
R: 4916, P: 37, Q: 656
R: 29545, P: 16, Q: 15718
R: 8443, P: 16, Q: 27877
R: 10116, P: 75, Q: 34212
R: 28290, P: 12, Q: 36174
R: 4748, P: 60, Q: 3874
R: 22166, P: 54, Q: 12022
R: 3835, P: 91, Q: 24722
R: 25415, P: 16, Q: 13292
R: 25028, P: 1, Q: 23196
R: 18425, P: 47, Q: 10701
R: 9827, P: 74, Q: 4057
R: 450, P: 91, Q: 29512
R: 18935, P: 33, Q: 7145
R: 1698, P: 61, Q: 13894
R: 36217, P: 87, Q: 2920
R: 18344, P: 59, Q: 23886
R: 22680, P: 1, Q: 23399
R: 34598, P: 57, Q: 481
R: 2364, P: 73, Q: 21076
R: 31788, P: 66, Q: 27645
R: 28960, P: 96, Q: 2679
R: 7983, P: 50, Q: 28860
R: 28801, P: 82, Q: 22944
R: 24804, P: 8, Q: 2553
R: 11710, P: 16, Q: 29064
R: 1086, P: 77, Q: 22747
R: 8302, P: 75, Q: 30558
R: 17750, P: 33, Q: 7723
R: 18508, P: 29, Q: 4337
R: 221, P: 30, Q: 11684
R: 11857, P: 99, Q: 1207
R: 26414, P: 8, Q: 16193
R: 23226, P: 19, Q: 685
R: 23082, P: 24, Q: 30045
R: 27510, P: 4, Q: 16905
R: 16599, P: 80, Q: 25139
R: 24673, P: 6, Q: 30076
R: 23084, P: 62, Q: 10063
R: 21989, P: 75, Q: 14971
R: 9081, P: 39, Q: 7653
R: 22986, P: 25, Q: 22582
R: 6861, P: 30, Q: 32458
R: 4767, P: 31, Q: 7805
R: 31277, P: 6, Q: 8775
R: 26263, P: 13, Q: 30790
R: 6232, P: 3, Q: 5985
R: 31370, P: 51, Q: 12549
R: 22433, P: 37, Q: 28451
R: 21202, P: 50, Q: 6206
R: 2462, P: 29, Q: 20594
R: 18722, P: 20, Q: 35426
R: 18240, P: 23, Q: 7519
R: 17906, P: 79, Q: 33923
R: 30492, P: 86, Q: 22965
R: 22012, P: 48, Q: 3165
R: 17296, P: 61, Q: 15794
R: 19904, P: 48, Q: 8924
R: 15339, P: 33, Q: 33341
R: 1490, P: 96, Q: 30272
R: 13265, P: 39, Q: 14406
R: 26599, P: 47, Q: 8472
R: 26352, P: 91, Q: 36347
R: 23782, P: 76, Q: 265
R: 24929, P: 40, Q: 15346
R: 10987, P: 72, Q: 17540
R: 34148, P: 96, Q: 30481
R: 25401, P: 50, Q: 3517
R: 21393, P: 81, Q: 10806
R: 18695, P: 89, Q: 23655
R: 9222, P: 88, Q: 14366
R: 26198, P: 84, Q: 8463
R: 6271, P: 95, Q: 1514
R: 722, P: 100, Q: 21491
R: 31334, P: 30, Q: 5865
R: 26329, P: 34, Q: 2742
R: 13193, P: 89, Q: 29471
R: 1599, P: 56, Q: 16935
R: 21154, P: 19, Q: 27919
R: 15684, P: 95, Q: 8469
R: 28838, P: 15, Q: 2766
R: 27926, P: 100, Q: 19005
R: 14820, P: 3, Q: 33675
R: 16192, P: 35, Q: 15122
R: 24252, P: 48, Q: 34238
R: 1827, P: 83, Q: 21373
R: 11340, P: 73, Q: 31852
R: 4628, P: 48, Q: 5826
R: 21052, P: 87, Q: 9270
R: 1745, P: 38, Q: 35668
R: 33258, P: 22, Q: 14612
R: 5276, P: 81, Q: 27273
R: 32138, P: 76, Q: 33590
R: 3167, P: 94, Q: 25630
R: 3520, P: 40, Q: 32867
R: 15149, P: 76, Q: 26490
R: 747, P: 91, Q: 28645
R: 1024, P: 10, Q: 22194
R: 13526, P: 95, Q: 16000
R: 34994, P: 90, Q: 20131
R: 18895, P: 79, Q: 5077
R: 6511, P: 54, Q: 11259
R: 15648, P: 35, Q: 35280
R: 2705, P: 84, Q: 11057
R: 6015, P: 81, Q: 19558
R: 14809, P: 25, Q: 7820
R: 15448, P: 82, Q: 25247
R: 31772, P: 49, Q: 24345
R: 10105, P: 77, Q: 20762
R: 11473, P: 66, Q: 35506
R: 16828, P: 97, Q: 1424
R: 7691, P: 36, Q: 27463
R: 26403, P: 96, Q: 35050
R: 31614, P: 77, Q: 29863
R: 31214, P: 42, Q: 15567
R: 21398, P: 20, Q: 22519
R: 15685, P: 48, Q: 30014
R: 3207, P: 3, Q: 30319
R: 14551, P: 63, Q: 22596
R: 10519, P: 5, Q: 29913
R: 6076, P: 57, Q: 2683
R: 13938, P: 79, Q: 31042
R: 15611, P: 97, Q: 23897
R: 10481, P: 7, Q: 13084
R: 6664, P: 59, Q: 35082
R: 28240, P: 93, Q: 12225
R: 5377, P: 73, Q: 15750
R: 30080, P: 89, Q: 14235
R: 16400, P: 26, Q: 21118
R: 34203, P: 46, Q: 22000
R: 23775, P: 46, Q: 4717
R: 25361, P: 56, Q: 32840
R: 35057, P: 77, Q: 20224
R: 34316, P: 89, Q: 2923
R: 31747, P: 18, Q: 2055
R: 6617, P: 22, Q: 5137
R: 11333, P: 36, Q: 11773
R: 15868, P: 47, Q: 3627
R: 12208, P: 40, Q: 4120
R: 34515, P: 64, Q: 30915
R: 11473, P: 75, Q: 16101
R: 2836, P: 87, Q: 27081
R: 1255, P: 99, Q: 19994
R: 22003, P: 88, Q: 1446
R: 6815, P: 51, Q: 31434
R: 21818, P: 55, Q: 11018
R: 36500, P: 67, Q: 20088
R: 6952, P: 6, Q: 19430
R: 17415, P: 31, Q: 17167
R: 29022, P: 5, Q: 19335
R: 1765, P: 72, Q: 31938
R: 3503, P: 74, Q: 33323
R: 7086, P: 2, Q: 32789
R: 21890, P: 16, Q: 29000
R: 2449, P: 11, Q: 23723
R: 9536, P: 72, Q: 7601
R: 12753, P: 34, Q: 32505
R: 25122, P: 22, Q: 18952
R: 27776, P: 10, Q: 32271
R: 33576, P: 7, Q: 28306
R: 26209, P: 90, Q: 10217
R: 18555, P: 52, Q: 35754
R: 23930, P: 15, Q: 4720
R: 35143, P: 9, Q: 9225
R: 6340, P: 21, Q: 22499
R: 23866, P: 53, Q: 2600
R: 35993, P: 65, Q: 29621
R: 11606, P: 76, Q: 6916
R: 30454, P: 45, Q: 32846
R: 22640, P: 57, Q: 27211
R: 15775, P: 39, Q: 3522
R: 21930, P: 64, Q: 30586

Czas bez sortowania :122047

Posortowane po min. Rj:
R: 11, P: 55, Q: 32277
R: 18, P: 17, Q: 15130
R: 79, P: 1, Q: 9617
R: 209, P: 77, Q: 2671
R: 220, P: 25, Q: 32167
R: 221, P: 30, Q: 11684
R: 319, P: 84, Q: 20239
R: 450, P: 91, Q: 29512
R: 451, P: 88, Q: 8073
R: 478, P: 92, Q: 36258
R: 514, P: 96, Q: 7679
R: 526, P: 43, Q: 7253
R: 545, P: 30, Q: 26734
R: 555, P: 30, Q: 16469
R: 568, P: 55, Q: 22525
R: 569, P: 86, Q: 22988
R: 674, P: 19, Q: 34633
R: 678, P: 25, Q: 5350
R: 715, P: 23, Q: 7015
R: 722, P: 100, Q: 21491
R: 747, P: 91, Q: 28645
R: 878, P: 5, Q: 12342
R: 943, P: 93, Q: 9579
R: 950, P: 61, Q: 21262
R: 994, P: 41, Q: 24993
R: 1010, P: 86, Q: 25621
R: 1024, P: 10, Q: 22194
R: 1086, P: 77, Q: 22747
R: 1098, P: 81, Q: 1866
R: 1111, P: 93, Q: 3549
R: 1163, P: 43, Q: 35437
R: 1170, P: 81, Q: 34791
R: 1255, P: 99, Q: 19994
R: 1270, P: 99, Q: 28861
R: 1298, P: 50, Q: 23627
R: 1316, P: 10, Q: 27563
R: 1350, P: 83, Q: 34545
R: 1399, P: 67, Q: 29032
R: 1464, P: 93, Q: 15441
R: 1478, P: 65, Q: 32668
R: 1484, P: 67, Q: 978
R: 1490, P: 96, Q: 30272
R: 1519, P: 62, Q: 27146
R: 1523, P: 59, Q: 22307
R: 1599, P: 56, Q: 16935
R: 1604, P: 57, Q: 22430
R: 1623, P: 54, Q: 22837
R: 1646, P: 56, Q: 13291
R: 1688, P: 61, Q: 13216
R: 1698, P: 61, Q: 13894
R: 1701, P: 38, Q: 17342
R: 1745, P: 38, Q: 35668
R: 1748, P: 31, Q: 20704
R: 1765, P: 72, Q: 31938
R: 1786, P: 58, Q: 36988
R: 1827, P: 83, Q: 21373
R: 1829, P: 33, Q: 35234
R: 1877, P: 42, Q: 6201
R: 1880, P: 55, Q: 561
R: 1950, P: 40, Q: 36091
R: 1983, P: 56, Q: 15243
R: 2006, P: 78, Q: 22223
R: 2028, P: 26, Q: 9406
R: 2040, P: 56, Q: 10746
R: 2046, P: 72, Q: 11730
R: 2066, P: 81, Q: 4273
R: 2075, P: 69, Q: 25798
R: 2077, P: 13, Q: 35698
R: 2134, P: 34, Q: 20230
R: 2226, P: 95, Q: 14021
R: 2275, P: 61, Q: 14158
R: 2296, P: 55, Q: 13478
R: 2314, P: 60, Q: 35356
R: 2320, P: 21, Q: 30965
R: 2321, P: 59, Q: 16539
R: 2329, P: 52, Q: 4737
R: 2364, P: 73, Q: 21076
R: 2449, P: 11, Q: 23723
R: 2462, P: 29, Q: 20594
R: 2531, P: 48, Q: 2376
R: 2534, P: 83, Q: 24473
R: 2554, P: 68, Q: 24115
R: 2705, P: 84, Q: 11057
R: 2756, P: 68, Q: 35774
R: 2761, P: 73, Q: 24192
R: 2773, P: 78, Q: 26814
R: 2836, P: 87, Q: 27081
R: 2851, P: 75, Q: 26134
R: 2909, P: 21, Q: 31826
R: 3052, P: 37, Q: 27108
R: 3075, P: 58, Q: 4711
R: 3135, P: 16, Q: 20714
R: 3167, P: 94, Q: 25630
R: 3207, P: 3, Q: 30319
R: 3212, P: 54, Q: 35342
R: 3311, P: 33, Q: 2834
R: 3462, P: 21, Q: 5301
R: 3496, P: 16, Q: 24362
R: 3503, P: 74, Q: 33323
R: 3520, P: 40, Q: 32867
R: 3521, P: 15, Q: 32797
R: 3571, P: 94, Q: 18383
R: 3619, P: 94, Q: 29475
R: 3625, P: 88, Q: 32587
R: 3658, P: 41, Q: 5940
R: 3691, P: 97, Q: 80
R: 3720, P: 33, Q: 16292
R: 3767, P: 87, Q: 27966
R: 3809, P: 51, Q: 32048
R: 3835, P: 91, Q: 24722
R: 3836, P: 12, Q: 19325
R: 3894, P: 80, Q: 9978
R: 3899, P: 2, Q: 6519
R: 3908, P: 100, Q: 17143
R: 3924, P: 4, Q: 3252
R: 3981, P: 87, Q: 8827
R: 4025, P: 73, Q: 7822
R: 4041, P: 51, Q: 35222
R: 4041, P: 6, Q: 17127
R: 4073, P: 57, Q: 1699
R: 4087, P: 29, Q: 26187
R: 4223, P: 54, Q: 36746
R: 4234, P: 80, Q: 19550
R: 4280, P: 79, Q: 26765
R: 4298, P: 23, Q: 21241
R: 4386, P: 63, Q: 27773
R: 4438, P: 44, Q: 35622
R: 4517, P: 57, Q: 30295
R: 4628, P: 48, Q: 5826
R: 4628, P: 24, Q: 35521
R: 4748, P: 60, Q: 3874
R: 4767, P: 31, Q: 7805
R: 4769, P: 36, Q: 24512
R: 4859, P: 7, Q: 22611
R: 4891, P: 35, Q: 10459
R: 4911, P: 89, Q: 19582
R: 4916, P: 37, Q: 656
R: 4959, P: 38, Q: 9616
R: 5125, P: 96, Q: 22791
R: 5144, P: 3, Q: 32208
R: 5207, P: 20, Q: 4028
R: 5272, P: 37, Q: 14611
R: 5275, P: 17, Q: 14115
R: 5276, P: 81, Q: 27273
R: 5279, P: 18, Q: 17517
R: 5284, P: 9, Q: 23858
R: 5293, P: 32, Q: 17278
R: 5338, P: 16, Q: 29282
R: 5377, P: 73, Q: 15750
R: 5476, P: 69, Q: 10732
R: 5523, P: 93, Q: 3534
R: 5530, P: 28, Q: 17548
R: 5531, P: 15, Q: 32487
R: 5575, P: 70, Q: 33825
R: 5629, P: 97, Q: 13957
R: 5682, P: 72, Q: 10654
R: 5736, P: 52, Q: 21088
R: 5774, P: 98, Q: 34081
R: 5802, P: 90, Q: 35795
R: 5850, P: 23, Q: 16411
R: 5862, P: 99, Q: 2033
R: 5862, P: 83, Q: 36164
R: 5884, P: 44, Q: 11453
R: 5926, P: 15, Q: 8800
R: 5962, P: 6, Q: 20742
R: 6015, P: 81, Q: 19558
R: 6051, P: 19, Q: 34351
R: 6076, P: 57, Q: 2683
R: 6123, P: 91, Q: 1933
R: 6150, P: 44, Q: 8657
R: 6158, P: 61, Q: 27099
R: 6161, P: 34, Q: 5863
R: 6180, P: 7, Q: 17371
R: 6191, P: 11, Q: 33658
R: 6193, P: 92, Q: 6297
R: 6202, P: 44, Q: 14357
R: 6232, P: 3, Q: 5985
R: 6271, P: 95, Q: 1514
R: 6302, P: 83, Q: 29147
R: 6323, P: 78, Q: 36559
R: 6337, P: 51, Q: 20003
R: 6340, P: 21, Q: 22499
R: 6343, P: 18, Q: 23120
R: 6345, P: 95, Q: 18572
R: 6367, P: 93, Q: 10248
R: 6369, P: 5, Q: 28663
R: 6370, P: 47, Q: 31122
R: 6420, P: 39, Q: 7575
R: 6422, P: 15, Q: 5673
R: 6511, P: 54, Q: 11259
R: 6578, P: 1, Q: 22330
R: 6588, P: 6, Q: 13395
R: 6602, P: 64, Q: 33289
R: 6617, P: 22, Q: 5137
R: 6664, P: 59, Q: 35082
R: 6681, P: 94, Q: 34022
R: 6717, P: 66, Q: 5252
R: 6721, P: 94, Q: 27889
R: 6754, P: 26, Q: 15493
R: 6777, P: 7, Q: 5113
R: 6815, P: 51, Q: 31434
R: 6841, P: 54, Q: 21346
R: 6861, P: 30, Q: 32458
R: 6867, P: 97, Q: 32991
R: 6885, P: 56, Q: 27824
R: 6952, P: 6, Q: 19430
R: 6972, P: 51, Q: 20729
R: 7070, P: 87, Q: 8373
R: 7086, P: 2, Q: 32789
R: 7156, P: 15, Q: 29867
R: 7181, P: 81, Q: 7124
R: 7184, P: 74, Q: 11731
R: 7230, P: 10, Q: 17589
R: 7237, P: 96, Q: 29954
R: 7326, P: 93, Q: 35195
R: 7344, P: 86, Q: 13564
R: 7350, P: 38, Q: 34287
R: 7465, P: 20, Q: 26934
R: 7467, P: 36, Q: 697
R: 7469, P: 38, Q: 11254
R: 7554, P: 22, Q: 3892
R: 7571, P: 11, Q: 35824
R: 7575, P: 34, Q: 36991
R: 7589, P: 89, Q: 24020
R: 7691, P: 36, Q: 27463
R: 7704, P: 26, Q: 3499
R: 7774, P: 4, Q: 3481
R: 7798, P: 43, Q: 25587
R: 7821, P: 41, Q: 32337
R: 7868, P: 41, Q: 33661
R: 7879, P: 72, Q: 26986
R: 7946, P: 40, Q: 29660
R: 7970, P: 17, Q: 7157
R: 7983, P: 50, Q: 28860
R: 7999, P: 64, Q: 13025
R: 8029, P: 78, Q: 1011
R: 8054, P: 18, Q: 16147
R: 8074, P: 32, Q: 6995
R: 8106, P: 66, Q: 12717
R: 8232, P: 23, Q: 35695
R: 8302, P: 75, Q: 30558
R: 8306, P: 26, Q: 16099
R: 8319, P: 59, Q: 4249
R: 8326, P: 40, Q: 17269
R: 8343, P: 96, Q: 29745
R: 8385, P: 95, Q: 27129
R: 8443, P: 16, Q: 27877
R: 8469, P: 31, Q: 24553
R: 8536, P: 37, Q: 13058
R: 8547, P: 43, Q: 34359
R: 8606, P: 13, Q: 33234
R: 8607, P: 92, Q: 19598
R: 8616, P: 38, Q: 22762
R: 8627, P: 70, Q: 28587
R: 8674, P: 11, Q: 12038
R: 8681, P: 65, Q: 3862
R: 8733, P: 79, Q: 21881
R: 8779, P: 17, Q: 34291
R: 8793, P: 86, Q: 33636
R: 8917, P: 34, Q: 8195
R: 8961, P: 11, Q: 1358
R: 9069, P: 79, Q: 11518
R: 9072, P: 40, Q: 12797
R: 9081, P: 39, Q: 7653
R: 9222, P: 88, Q: 14366
R: 9238, P: 17, Q: 26451
R: 9257, P: 14, Q: 27807
R: 9325, P: 52, Q: 24552
R: 9336, P: 2, Q: 12361
R: 9337, P: 45, Q: 2632
R: 9422, P: 34, Q: 14906
R: 9458, P: 40, Q: 16558
R: 9461, P: 33, Q: 33859
R: 9498, P: 30, Q: 15663
R: 9536, P: 72, Q: 7601
R: 9552, P: 6, Q: 15044
R: 9579, P: 84, Q: 30890
R: 9591, P: 11, Q: 25360
R: 9599, P: 68, Q: 33006
R: 9655, P: 98, Q: 34327
R: 9691, P: 99, Q: 27320
R: 9768, P: 9, Q: 27287
R: 9783, P: 87, Q: 28806
R: 9783, P: 94, Q: 10940
R: 9827, P: 74, Q: 4057
R: 9971, P: 18, Q: 16137
R: 10051, P: 8, Q: 3339
R: 10056, P: 18, Q: 25027
R: 10064, P: 13, Q: 18254
R: 10096, P: 8, Q: 19943
R: 10105, P: 77, Q: 20762
R: 10116, P: 75, Q: 34212
R: 10127, P: 3, Q: 16094
R: 10189, P: 51, Q: 2475
R: 10218, P: 78, Q: 13937
R: 10307, P: 26, Q: 4727
R: 10309, P: 93, Q: 26994
R: 10363, P: 10, Q: 3371
R: 10388, P: 86, Q: 21934
R: 10397, P: 49, Q: 12985
R: 10481, P: 7, Q: 13084
R: 10519, P: 5, Q: 29913
R: 10584, P: 38, Q: 10709
R: 10623, P: 31, Q: 24011
R: 10698, P: 11, Q: 27469
R: 10706, P: 59, Q: 28283
R: 10778, P: 65, Q: 14084
R: 10798, P: 68, Q: 17405
R: 10800, P: 73, Q: 13895
R: 10817, P: 5, Q: 23933
R: 10961, P: 93, Q: 22934
R: 10987, P: 72, Q: 17540
R: 10989, P: 75, Q: 5039
R: 10993, P: 18, Q: 5
R: 11063, P: 80, Q: 13091
R: 11076, P: 21, Q: 13968
R: 11125, P: 59, Q: 10882
R: 11125, P: 57, Q: 11812
R: 11248, P: 19, Q: 34228
R: 11262, P: 11, Q: 36288
R: 11279, P: 42, Q: 14653
R: 11333, P: 36, Q: 11773
R: 11340, P: 73, Q: 31852
R: 11369, P: 41, Q: 6394
R: 11382, P: 98, Q: 5327
R: 11391, P: 40, Q: 8673
R: 11413, P: 70, Q: 35053
R: 11426, P: 70, Q: 23054
R: 11469, P: 90, Q: 25861
R: 11473, P: 66, Q: 35506
R: 11473, P: 75, Q: 16101
R: 11481, P: 7, Q: 25111
R: 11549, P: 62, Q: 18133
R: 11566, P: 31, Q: 2535
R: 11605, P: 21, Q: 14578
R: 11606, P: 76, Q: 6916
R: 11616, P: 22, Q: 8838
R: 11642, P: 53, Q: 4144
R: 11663, P: 75, Q: 9392
R: 11710, P: 16, Q: 29064
R: 11788, P: 1, Q: 25051
R: 11804, P: 25, Q: 402
R: 11857, P: 99, Q: 1207
R: 11893, P: 69, Q: 1649
R: 11916, P: 24, Q: 1882
R: 11926, P: 6, Q: 34273
R: 12003, P: 31, Q: 34311
R: 12045, P: 48, Q: 35801
R: 12071, P: 14, Q: 34035
R: 12143, P: 97, Q: 7024
R: 12174, P: 57, Q: 34850
R: 12208, P: 40, Q: 4120
R: 12451, P: 81, Q: 12555
R: 12498, P: 57, Q: 28942
R: 12516, P: 35, Q: 14871
R: 12524, P: 7, Q: 33833
R: 12525, P: 28, Q: 34942
R: 12753, P: 34, Q: 32505
R: 12759, P: 8, Q: 10062
R: 12773, P: 71, Q: 19556
R: 12795, P: 95, Q: 29619
R: 12826, P: 48, Q: 5091
R: 12840, P: 81, Q: 31719
R: 12872, P: 98, Q: 22803
R: 12925, P: 56, Q: 34224
R: 12954, P: 40, Q: 7494
R: 13002, P: 19, Q: 25980
R: 13109, P: 25, Q: 2568
R: 13193, P: 89, Q: 29471
R: 13237, P: 3, Q: 35294
R: 13265, P: 39, Q: 14406
R: 13289, P: 49, Q: 25688
R: 13312, P: 92, Q: 4169
R: 13445, P: 25, Q: 15772
R: 13455, P: 85, Q: 32046
R: 13474, P: 33, Q: 2151
R: 13512, P: 69, Q: 4751
R: 13518, P: 98, Q: 29866
R: 13526, P: 95, Q: 16000
R: 13526, P: 32, Q: 4484
R: 13569, P: 65, Q: 9524
R: 13624, P: 49, Q: 35518
R: 13635, P: 68, Q: 30314
R: 13660, P: 11, Q: 13307
R: 13751, P: 97, Q: 5995
R: 13767, P: 7, Q: 24887
R: 13769, P: 17, Q: 23472
R: 13805, P: 32, Q: 36280
R: 13881, P: 90, Q: 30390
R: 13887, P: 30, Q: 19201
R: 13938, P: 79, Q: 31042
R: 13953, P: 25, Q: 26146
R: 13998, P: 65, Q: 13190
R: 14012, P: 41, Q: 29542
R: 14188, P: 90, Q: 19585
R: 14236, P: 54, Q: 30065
R: 14237, P: 59, Q: 18351
R: 14245, P: 92, Q: 500
R: 14276, P: 81, Q: 5575
R: 14346, P: 76, Q: 26632
R: 14369, P: 33, Q: 14401
R: 14401, P: 71, Q: 30254
R: 14405, P: 35, Q: 8590
R: 14428, P: 92, Q: 8785
R: 14465, P: 22, Q: 26924
R: 14476, P: 20, Q: 10044
R: 14551, P: 63, Q: 22596
R: 14722, P: 87, Q: 15452
R: 14742, P: 28, Q: 276
R: 14756, P: 6, Q: 32941
R: 14809, P: 25, Q: 7820
R: 14820, P: 3, Q: 33675
R: 14910, P: 96, Q: 27392
R: 14940, P: 77, Q: 35896
R: 14950, P: 41, Q: 8975
R: 14961, P: 30, Q: 26935
R: 14963, P: 7, Q: 20030
R: 14980, P: 46, Q: 5406
R: 15018, P: 67, Q: 17974
R: 15024, P: 27, Q: 30838
R: 15059, P: 87, Q: 36340
R: 15065, P: 87, Q: 18798
R: 15149, P: 76, Q: 26490
R: 15168, P: 48, Q: 17290
R: 15170, P: 17, Q: 13737
R: 15187, P: 54, Q: 8182
R: 15195, P: 89, Q: 24585
R: 15205, P: 68, Q: 29744
R: 15207, P: 73, Q: 5520
R: 15221, P: 25, Q: 13656
R: 15243, P: 1, Q: 20307
R: 15336, P: 54, Q: 7244
R: 15339, P: 33, Q: 33341
R: 15400, P: 48, Q: 31973
R: 15417, P: 89, Q: 18419
R: 15426, P: 36, Q: 16879
R: 15448, P: 82, Q: 25247
R: 15509, P: 59, Q: 35636
R: 15521, P: 30, Q: 6096
R: 15568, P: 50, Q: 27433
R: 15584, P: 78, Q: 17902
R: 15611, P: 97, Q: 23897
R: 15638, P: 33, Q: 4260
R: 15648, P: 82, Q: 8177
R: 15648, P: 35, Q: 35280
R: 15659, P: 86, Q: 30357
R: 15667, P: 80, Q: 36001
R: 15684, P: 95, Q: 8469
R: 15685, P: 48, Q: 30014
R: 15698, P: 31, Q: 27823
R: 15775, P: 39, Q: 3522
R: 15860, P: 58, Q: 7240
R: 15868, P: 47, Q: 3627
R: 15879, P: 13, Q: 17790
R: 15888, P: 7, Q: 16405
R: 15917, P: 36, Q: 10802
R: 15948, P: 88, Q: 27176
R: 15954, P: 41, Q: 24601
R: 16100, P: 41, Q: 9419
R: 16163, P: 47, Q: 36279
R: 16167, P: 57, Q: 2848
R: 16183, P: 74, Q: 17303
R: 16192, P: 35, Q: 15122
R: 16222, P: 27, Q: 7809
R: 16290, P: 72, Q: 15695
R: 16309, P: 19, Q: 21458
R: 16400, P: 26, Q: 21118
R: 16449, P: 92, Q: 32748
R: 16456, P: 41, Q: 29868
R: 16497, P: 59, Q: 19883
R: 16509, P: 40, Q: 23966
R: 16599, P: 80, Q: 25139
R: 16783, P: 72, Q: 31158
R: 16791, P: 97, Q: 18151
R: 16808, P: 55, Q: 29524
R: 16828, P: 97, Q: 1424
R: 16845, P: 60, Q: 1498
R: 16850, P: 67, Q: 2035
R: 16908, P: 96, Q: 33356
R: 16944, P: 64, Q: 21525
R: 16953, P: 20, Q: 4
R: 16999, P: 10, Q: 26794
R: 17032, P: 82, Q: 24052
R: 17054, P: 54, Q: 29911
R: 17070, P: 9, Q: 9664
R: 17111, P: 81, Q: 18375
R: 17186, P: 79, Q: 27972
R: 17212, P: 27, Q: 12044
R: 17296, P: 61, Q: 15794
R: 17300, P: 39, Q: 13852
R: 17415, P: 31, Q: 17167
R: 17456, P: 39, Q: 14251
R: 17501, P: 16, Q: 36226
R: 17621, P: 64, Q: 32841
R: 17660, P: 52, Q: 20540
R: 17737, P: 80, Q: 24659
R: 17750, P: 33, Q: 7723
R: 17779, P: 94, Q: 13872
R: 17870, P: 5, Q: 25321
R: 17884, P: 59, Q: 32370
R: 17906, P: 79, Q: 33923
R: 17911, P: 87, Q: 17869
R: 18021, P: 97, Q: 33057
R: 18031, P: 98, Q: 3419
R: 18106, P: 27, Q: 2809
R: 18185, P: 63, Q: 12278
R: 18240, P: 23, Q: 7519
R: 18275, P: 25, Q: 9685
R: 18335, P: 23, Q: 3023
R: 18344, P: 59, Q: 23886
R: 18374, P: 99, Q: 25907
R: 18408, P: 81, Q: 36543
R: 18425, P: 47, Q: 10701
R: 18458, P: 67, Q: 3072
R: 18485, P: 14, Q: 15407
R: 18508, P: 29, Q: 4337
R: 18509, P: 54, Q: 31209
R: 18516, P: 91, Q: 21364
R: 18555, P: 52, Q: 35754
R: 18574, P: 88, Q: 7705
R: 18616, P: 38, Q: 13423
R: 18620, P: 9, Q: 8733
R: 18695, P: 89, Q: 23655
R: 18722, P: 20, Q: 35426
R: 18811, P: 64, Q: 33703
R: 18825, P: 78, Q: 32755
R: 18851, P: 61, Q: 14420
R: 18863, P: 16, Q: 36316
R: 18895, P: 79, Q: 5077
R: 18920, P: 86, Q: 18648
R: 18935, P: 33, Q: 7145
R: 19028, P: 61, Q: 20995
R: 19067, P: 5, Q: 6496
R: 19078, P: 99, Q: 32632
R: 19082, P: 83, Q: 14130
R: 19083, P: 100, Q: 6929
R: 19116, P: 14, Q: 7243
R: 19136, P: 76, Q: 16579
R: 19168, P: 29, Q: 31035
R: 19225, P: 32, Q: 33
R: 19274, P: 63, Q: 13515
R: 19284, P: 25, Q: 8229
R: 19296, P: 48, Q: 24462
R: 19307, P: 70, Q: 16245
R: 19378, P: 22, Q: 29283
R: 19382, P: 97, Q: 4231
R: 19451, P: 56, Q: 6844
R: 19458, P: 67, Q: 17079
R: 19473, P: 59, Q: 31527
R: 19553, P: 41, Q: 23445
R: 19608, P: 89, Q: 6357
R: 19621, P: 22, Q: 30434
R: 19630, P: 20, Q: 36190
